entity	customer_bin	last_id	resume_path	updated_at
lots	171041003124	8797661		2026-02-24 14:51:05.699776+00:00
lots	210240019348	15719163		2026-02-24 14:51:05.701882+00:00
lots	210240033968	14825632		2026-02-24 14:51:05.702733+00:00
lots	210941010761	17053784		2026-02-24 14:51:05.702380+00:00
lots	230740013340	27368513		2026-02-24 14:51:05.699766+00:00
lots	231040023028	28520744		2026-02-24 14:51:05.813506+00:00
lots	780140000023	8869404		2026-02-24 14:51:05.832930+00:00
lots	900640000128	77831		2026-02-24 14:51:05.830003+00:00
lots	940740000911	46552		2026-02-24 14:51:05.814188+00:00
lots	940940000384	8726462		2026-02-24 14:51:05.829792+00:00
lots	960440000220	144692		2026-02-24 14:51:05.938831+00:00
lots	970940001378	8767098		2026-02-24 14:51:05.945673+00:00
lots	971040001050	9128148		2026-02-24 14:51:05.948578+00:00
lots	980440001034	8747783		2026-02-24 14:51:05.947685+00:00
lots	981140001551	4002		2026-02-24 14:51:05.940235+00:00
lots	990340005977	8994592		2026-02-24 14:51:06.055041+00:00
lots	990740002243	9525914		2026-02-24 14:51:06.061121+00:00
plans	000740001307	2056646		2026-03-01 09:25:39.679836+00:00
plans	020240002363	52393960		2026-03-01 09:25:39.700426+00:00
plans	020440003656	696472		2026-03-01 09:25:39.685186+00:00
plans	030440003698	1666671		2026-03-01 09:25:39.716630+00:00
plans	050740004819	1641541		2026-03-01 09:25:39.699582+00:00
plans	051040005150	757543		2026-03-01 09:25:39.909878+00:00
plans	100140011059	640535		2026-03-01 09:25:39.867876+00:00
plans	120940001946	1006737		2026-03-01 09:25:39.872702+00:00
plans	140340016539	373128		2026-03-01 09:25:39.844762+00:00
plans	150540000186	5511196		2026-03-01 09:25:39.854470+00:00
plans	171041003124	9353219		2026-03-01 09:25:58.608134+00:00
plans	210240019348	43313575		2026-03-01 09:25:40.025335+00:00
plans	210240033968	43735652		2026-03-01 09:25:40.030587+00:00
plans	210941010761	46003782		2026-03-01 09:25:40.058770+00:00
plans	230740013340	62718302		2026-03-01 09:25:40.060050+00:00
plans	231040023028	64296311		2026-03-01 09:25:40.453749+00:00
plans	780140000023	1322946		2026-03-01 09:25:40.222458+00:00
plans	900640000128	414500		2026-03-01 09:25:40.222927+00:00
plans	940740000911	1401407		2026-03-01 09:25:40.227061+00:00
plans	940940000384	52545		2026-03-01 09:25:40.410808+00:00
plans	960440000220	374134		2026-03-01 09:25:40.426029+00:00
plans	970940001378	1522910		2026-03-01 09:25:40.391655+00:00
plans	971040001050	2231234		2026-03-01 09:25:40.560618+00:00
plans	980440001034	2903763		2026-03-01 09:25:40.567685+00:00
plans	981140001551	294470		2026-03-01 09:25:40.565868+00:00
plans	990340005977	1194264		2026-03-01 09:25:40.568350+00:00
plans	990740002243	1449144		2026-03-01 09:25:40.729906+00:00
